DEBUG DECODER CONFIG: dict_keys(['fusion_dim', 'cond_dim', 'fusion_heads', 'fusion_layers', 'dropout'])
DEBUG DIMS: sem=768, pro=768, spk=768, fusion=768
DEBUG CROSS_FUSION INIT: sem=768, pro=768
SIREN V8 VQ-VAE (autoresearch)
  config: /home/sperm/siren/SIREN/src/ultra_low_bitrate_codec/configs/ultra58bps_16k.yaml
  TIME_BUDGET: 300s (wall after step 10)
  train wavs: 5700, val wavs: 299
  device: cuda, amp=True, accum=1

step 00142 (37.4%) | loss: -20.8252 | dt: 795ms | epoch: 0 | rem: 188s 
step 00143 (37.6%) | loss: -20.7750 | dt: 797ms | epoch: 0 | rem: 187s 
step 00144 (37.9%) | loss: -20.7650 | dt: 792ms | epoch: 0 | rem: 186s 
step 00145 (38.2%) | loss: -20.7262 | dt: 796ms | epoch: 0 | rem: 186s 
step 00146 (38.4%) | loss: -20.6905 | dt: 788ms | epoch: 0 | rem: 185s 
step 00147 (38.7%) | loss: -20.7164 | dt: 803ms | epoch: 0 | rem: 184s 
step 00148 (38.9%) | loss: -20.7762 | dt: 787ms | epoch: 0 | rem: 183s 
step 00149 (40.1%) | loss: -20.8366 | dt: 3540ms | epoch: 0 | rem: 180s 
step 00150 (40.4%) | loss: -20.8959 | dt: 837ms | epoch: 0 | rem: 179s 
step 00151 (40.7%) | loss: -20.9460 | dt: 824ms | epoch: 0 | rem: 178s 
step 00152 (41.0%) | loss: -21.0128 | dt: 819ms | epoch: 0 | rem: 177s 
step 00153 (41.2%) | loss: -21.0341 | dt: 821ms | epoch: 0 | rem: 176s 
step 00154 (41.5%) | loss: -21.0781 | dt: 831ms | epoch: 0 | rem: 175s 
step 00155 (41.8%) | loss: -21.1354 | dt: 814ms | epoch: 0 | rem: 175s 
step 00156 (42.0%) | loss: -21.1770 | dt: 817ms | epoch: 0 | rem: 174s 
step 00157 (42.3%) | loss: -21.2034 | dt: 832ms | epoch: 0 | rem: 173s 
step 00158 (42.6%) | loss: -21.2545 | dt: 818ms | epoch: 0 | rem: 172s 
step 00159 (42.9%) | loss: -21.2641 | dt: 774ms | epoch: 0 | rem: 171s 
step 00160 (43.1%) | loss: -21.2703 | dt: 768ms | epoch: 0 | rem: 171s 
step 00161 (43.4%) | loss: -21.3095 | dt: 770ms | epoch: 0 | rem: 170s 
step 00162 (43.6%) | loss: -21.3343 | dt: 774ms | epoch: 0 | rem: 169s 
step 00163 (43.9%) | loss: -21.3442 | dt: 767ms | epoch: 0 | rem: 168s 
step 00164 (44.1%) | loss: -21.3527 | dt: 758ms | epoch: 0 | rem: 168s 
step 00165 (44.4%) | loss: -21.3855 | dt: 771ms | epoch: 0 | rem: 167s 
step 00166 (44.7%) | loss: -21.4113 | dt: 778ms | epoch: 0 | rem: 166s 
step 00167 (44.9%) | loss: -21.4304 | dt: 760ms | epoch: 0 | rem: 165s 
step 00168 (45.2%) | loss: -21.4504 | dt: 766ms | epoch: 0 | rem: 165s 
step 00169 (45.4%) | loss: -21.4653 | dt: 758ms | epoch: 0 | rem: 164s 
step 00170 (45.7%) | loss: -21.4786 | dt: 768ms | epoch: 0 | rem: 163s 
step 00171 (45.9%) | loss: -21.4897 | dt: 775ms | epoch: 0 | rem: 162s 
step 00172 (46.2%) | loss: -21.5014 | dt: 773ms | epoch: 0 | rem: 161s 
step 00173 (46.4%) | loss: -21.5116 | dt: 765ms | epoch: 0 | rem: 161s 
step 00174 (46.7%) | loss: -21.5157 | dt: 761ms | epoch: 0 | rem: 160s 
step 00175 (46.9%) | loss: -21.5287 | dt: 766ms | epoch: 0 | rem: 159s 
step 00176 (47.2%) | loss: -21.5403 | dt: 776ms | epoch: 0 | rem: 158s 
step 00177 (47.5%) | loss: -21.5492 | dt: 770ms | epoch: 0 | rem: 158s 
step 00178 (47.7%) | loss: -21.5519 | dt: 771ms | epoch: 0 | rem: 157s 
step 00179 (61.1%) | loss: -21.5632 | dt: 40236ms | epoch: 0 | rem: 117s 
step 00180 (61.4%) | loss: -21.5603 | dt: 920ms | epoch: 1 | rem: 116s 
step 00181 (61.7%) | loss: -21.5487 | dt: 795ms | epoch: 1 | rem: 115s 
step 00182 (62.0%) | loss: -21.5587 | dt: 782ms | epoch: 1 | rem: 114s 
step 00183 (62.2%) | loss: -21.5619 | dt: 805ms | epoch: 1 | rem: 113s 
step 00184 (63.5%) | loss: -21.5772 | dt: 3662ms | epoch: 1 | rem: 110s 
step 00185 (63.7%) | loss: -21.5856 | dt: 836ms | epoch: 1 | rem: 109s 
step 00186 (64.0%) | loss: -21.5655 | dt: 839ms | epoch: 1 | rem: 108s 
step 00187 (64.3%) | loss: -21.5339 | dt: 844ms | epoch: 1 | rem: 107s 
step 00188 (64.6%) | loss: -21.5221 | dt: 846ms | epoch: 1 | rem: 106s 
step 00189 (64.9%) | loss: -21.5286 | dt: 857ms | epoch: 1 | rem: 105s 
step 00190 (65.1%) | loss: -21.5360 | dt: 832ms | epoch: 1 | rem: 105s 
step 00191 (65.4%) | loss: -21.5365 | dt: 830ms | epoch: 1 | rem: 104s 
step 00192 (65.7%) | loss: -21.5384 | dt: 801ms | epoch: 1 | rem: 103s 
step 00193 (65.9%) | loss: -21.5482 | dt: 798ms | epoch: 1 | rem: 102s 
step 00194 (66.2%) | loss: -21.5606 | dt: 804ms | epoch: 1 | rem: 101s 
step 00195 (66.5%) | loss: -21.5608 | dt: 811ms | epoch: 1 | rem: 101s 
step 00196 (66.7%) | loss: -21.5773 | dt: 792ms | epoch: 1 | rem: 100s 
step 00197 (67.0%) | loss: -21.5800 | dt: 801ms | epoch: 1 | rem: 99s 
step 00198 (67.3%) | loss: -21.5871 | dt: 814ms | epoch: 1 | rem: 98s 
step 00199 (67.6%) | loss: -21.5947 | dt: 808ms | epoch: 1 | rem: 97s 
step 00200 (67.8%) | loss: -21.6044 | dt: 803ms | epoch: 1 | rem: 97s 
step 00201 (68.1%) | loss: -21.6155 | dt: 785ms | epoch: 1 | rem: 96s 
