DEBUG DECODER CONFIG: dict_keys(['fusion_dim', 'cond_dim', 'fusion_heads', 'fusion_layers', 'dropout'])
DEBUG DIMS: sem=768, pro=768, spk=768, fusion=768
DEBUG CROSS_FUSION INIT: sem=768, pro=768
SIREN V8 VQ-VAE (autoresearch)
  config: /home/sperm/siren/SIREN/src/ultra_low_bitrate_codec/configs/ultra58bps_16k.yaml
  TIME_BUDGET: 300s (wall after step 10)
  train wavs: 5700, val wavs: 299
  device: cuda, amp=True, accum=1

step 00097 (24.5%) | loss: 15.0259 | dt: 887ms | epoch: 0 | rem: 227s 
step 00098 (24.8%) | loss: 14.9762 | dt: 876ms | epoch: 0 | rem: 226s 
step 00099 (25.1%) | loss: 14.9413 | dt: 847ms | epoch: 0 | rem: 225s 
step 00100 (25.3%) | loss: 14.8825 | dt: 845ms | epoch: 0 | rem: 224s 
step 00101 (25.6%) | loss: 14.8601 | dt: 848ms | epoch: 0 | rem: 223s 
step 00102 (25.9%) | loss: 14.8310 | dt: 849ms | epoch: 0 | rem: 222s 
step 00103 (26.2%) | loss: 14.8038 | dt: 842ms | epoch: 0 | rem: 221s 
step 00104 (26.5%) | loss: 14.7899 | dt: 837ms | epoch: 0 | rem: 221s 
step 00105 (26.7%) | loss: 14.8152 | dt: 849ms | epoch: 0 | rem: 220s 
step 00106 (27.0%) | loss: 14.8407 | dt: 845ms | epoch: 0 | rem: 219s 
step 00107 (27.3%) | loss: 14.8768 | dt: 872ms | epoch: 0 | rem: 218s 
step 00108 (27.6%) | loss: 14.9352 | dt: 835ms | epoch: 0 | rem: 217s 
step 00109 (27.9%) | loss: 14.9439 | dt: 870ms | epoch: 0 | rem: 216s 
step 00110 (28.2%) | loss: 14.9667 | dt: 870ms | epoch: 0 | rem: 215s 
step 00111 (28.5%) | loss: 14.9636 | dt: 858ms | epoch: 0 | rem: 215s 
step 00112 (28.7%) | loss: 14.9690 | dt: 840ms | epoch: 0 | rem: 214s 
step 00113 (29.0%) | loss: 14.9815 | dt: 861ms | epoch: 0 | rem: 213s 
step 00114 (29.3%) | loss: 15.0020 | dt: 858ms | epoch: 0 | rem: 212s 
step 00115 (29.6%) | loss: 14.9868 | dt: 848ms | epoch: 0 | rem: 211s 
step 00116 (29.9%) | loss: 14.9886 | dt: 868ms | epoch: 0 | rem: 210s 
step 00117 (30.2%) | loss: 14.9533 | dt: 896ms | epoch: 0 | rem: 209s 
step 00118 (30.5%) | loss: 14.9458 | dt: 861ms | epoch: 0 | rem: 209s 
step 00119 (30.8%) | loss: 14.9140 | dt: 871ms | epoch: 0 | rem: 208s 
step 00120 (31.0%) | loss: 14.9089 | dt: 845ms | epoch: 0 | rem: 207s 
step 00121 (31.3%) | loss: 14.8688 | dt: 861ms | epoch: 0 | rem: 206s 
step 00122 (31.6%) | loss: 14.8113 | dt: 848ms | epoch: 0 | rem: 205s 
step 00123 (31.9%) | loss: 14.8021 | dt: 882ms | epoch: 0 | rem: 204s 
step 00124 (32.2%) | loss: 14.7657 | dt: 838ms | epoch: 0 | rem: 203s 
step 00125 (32.5%) | loss: 14.7629 | dt: 879ms | epoch: 0 | rem: 203s 
step 00126 (32.8%) | loss: 14.7423 | dt: 887ms | epoch: 0 | rem: 202s 
step 00127 (33.1%) | loss: 14.7254 | dt: 844ms | epoch: 0 | rem: 201s 
step 00128 (33.3%) | loss: 14.6736 | dt: 842ms | epoch: 0 | rem: 200s 
step 00129 (33.6%) | loss: 14.6516 | dt: 851ms | epoch: 0 | rem: 199s 
step 00130 (33.9%) | loss: 14.6403 | dt: 885ms | epoch: 0 | rem: 198s 
step 00131 (34.2%) | loss: 14.6087 | dt: 844ms | epoch: 0 | rem: 197s 
step 00132 (34.5%) | loss: 14.5446 | dt: 861ms | epoch: 0 | rem: 197s 
step 00133 (34.8%) | loss: 14.5327 | dt: 866ms | epoch: 0 | rem: 196s 
step 00134 (35.1%) | loss: 14.5000 | dt: 864ms | epoch: 0 | rem: 195s 
step 00135 (35.4%) | loss: 14.4586 | dt: 882ms | epoch: 0 | rem: 194s 
step 00136 (35.6%) | loss: 14.4336 | dt: 878ms | epoch: 0 | rem: 193s 
step 00137 (35.9%) | loss: 14.4283 | dt: 844ms | epoch: 0 | rem: 192s 
step 00138 (36.2%) | loss: 14.4031 | dt: 872ms | epoch: 0 | rem: 191s 
step 00139 (36.5%) | loss: 14.3851 | dt: 848ms | epoch: 0 | rem: 190s 
step 00140 (36.8%) | loss: 14.3400 | dt: 850ms | epoch: 0 | rem: 190s 
step 00141 (37.1%) | loss: 14.3165 | dt: 887ms | epoch: 0 | rem: 189s 
step 00142 (37.4%) | loss: 14.2925 | dt: 879ms | epoch: 0 | rem: 188s 
step 00143 (37.7%) | loss: 14.2822 | dt: 862ms | epoch: 0 | rem: 187s 
step 00144 (37.9%) | loss: 14.2996 | dt: 854ms | epoch: 0 | rem: 186s 
step 00145 (38.2%) | loss: 14.3026 | dt: 864ms | epoch: 0 | rem: 185s 
step 00146 (38.5%) | loss: 14.3113 | dt: 841ms | epoch: 0 | rem: 184s 
step 00147 (38.8%) | loss: 14.3004 | dt: 875ms | epoch: 0 | rem: 184s 
step 00148 (39.1%) | loss: 14.2704 | dt: 845ms | epoch: 0 | rem: 183s 
step 00149 (39.4%) | loss: 14.2262 | dt: 835ms | epoch: 0 | rem: 182s 
step 00150 (39.7%) | loss: 14.1518 | dt: 871ms | epoch: 0 | rem: 181s 
step 00151 (39.9%) | loss: 14.0729 | dt: 865ms | epoch: 0 | rem: 180s 
step 00152 (40.2%) | loss: 14.0336 | dt: 866ms | epoch: 0 | rem: 179s 
step 00153 (40.5%) | loss: 14.0143 | dt: 880ms | epoch: 0 | rem: 178s 
step 00154 (40.8%) | loss: 13.9772 | dt: 879ms | epoch: 0 | rem: 178s 
step 00155 (41.1%) | loss: 13.9486 | dt: 860ms | epoch: 0 | rem: 177s 
step 00156 (41.4%) | loss: 13.9461 | dt: 897ms | epoch: 0 | rem: 176s 
step 00157 (41.7%) | loss: 13.9231 | dt: 848ms | epoch: 0 | rem: 175s 
step 00158 (42.0%) | loss: 13.9190 | dt: 898ms | epoch: 0 | rem: 174s 
step 00159 (42.3%) | loss: 13.9110 | dt: 877ms | epoch: 0 | rem: 173s 
step 00160 (42.6%) | loss: 13.9004 | dt: 877ms | epoch: 0 | rem: 172s 
step 00161 (42.9%) | loss: 13.9227 | dt: 853ms | epoch: 0 | rem: 171s 
step 00162 (43.1%) | loss: 13.9089 | dt: 867ms | epoch: 0 | rem: 171s 
step 00163 (43.4%) | loss: 13.9179 | dt: 867ms | epoch: 0 | rem: 170s 
step 00164 (43.7%) | loss: 13.9917 | dt: 858ms | epoch: 0 | rem: 169s 
step 00165 (44.0%) | loss: 14.0181 | dt: 837ms | epoch: 0 | rem: 168s 
step 00166 (44.3%) | loss: 14.0194 | dt: 838ms | epoch: 0 | rem: 167s 
step 00167 (44.6%) | loss: 14.0258 | dt: 841ms | epoch: 0 | rem: 166s 
step 00168 (44.8%) | loss: 14.0115 | dt: 863ms | epoch: 0 | rem: 165s 
step 00169 (45.1%) | loss: 13.9615 | dt: 849ms | epoch: 0 | rem: 165s 
step 00170 (45.4%) | loss: 13.9083 | dt: 866ms | epoch: 0 | rem: 164s 
step 00171 (45.7%) | loss: 13.8677 | dt: 837ms | epoch: 0 | rem: 163s 
step 00172 (46.0%) | loss: 13.8353 | dt: 833ms | epoch: 0 | rem: 162s 
step 00173 (46.3%) | loss: 13.8134 | dt: 827ms | epoch: 0 | rem: 161s 
step 00174 (46.5%) | loss: 13.8105 | dt: 872ms | epoch: 0 | rem: 160s 
step 00175 (46.8%) | loss: 13.8104 | dt: 833ms | epoch: 0 | rem: 160s 
step 00176 (47.1%) | loss: 13.7721 | dt: 861ms | epoch: 0 | rem: 159s 
step 00177 (47.4%) | loss: 13.7331 | dt: 850ms | epoch: 0 | rem: 158s 
step 00178 (47.7%) | loss: 13.7336 | dt: 835ms | epoch: 0 | rem: 157s 
step 00179 (63.9%) | loss: 12.5151 | dt: 48593ms | epoch: 0 | rem: 108s 
step 00180 (64.2%) | loss: 12.6478 | dt: 1054ms | epoch: 1 | rem: 107s 
step 00181 (64.5%) | loss: 12.7104 | dt: 895ms | epoch: 1 | rem: 106s 
step 00182 (64.8%) | loss: 12.8171 | dt: 870ms | epoch: 1 | rem: 106s 
step 00183 (65.1%) | loss: 12.8883 | dt: 854ms | epoch: 1 | rem: 105s 
step 00184 (65.4%) | loss: 12.9385 | dt: 870ms | epoch: 1 | rem: 104s 
step 00185 (65.7%) | loss: 13.0095 | dt: 841ms | epoch: 1 | rem: 103s 
step 00186 (66.0%) | loss: 13.0582 | dt: 880ms | epoch: 1 | rem: 102s 
step 00187 (66.2%) | loss: 13.0896 | dt: 884ms | epoch: 1 | rem: 101s 
step 00188 (66.5%) | loss: 13.1588 | dt: 859ms | epoch: 1 | rem: 100s 
step 00189 (66.8%) | loss: 13.1927 | dt: 884ms | epoch: 1 | rem: 100s 
step 00190 (67.1%) | loss: 13.1825 | dt: 854ms | epoch: 1 | rem: 99s 
step 00191 (67.4%) | loss: 13.2049 | dt: 878ms | epoch: 1 | rem: 98s 
step 00192 (67.7%) | loss: 13.2044 | dt: 824ms | epoch: 1 | rem: 97s 
