Simplified VQ-VAE (autoresearch)
  latent_dim: 64, num_codes: 512
  TIME_BUDGET: 300s (wall after step 10)
  train wavs: 5700, val wavs: 299
  device: cuda, amp=True

step 00084 (2.0%) | loss: 0.4445 | recon: 0.0579 | vq: 0.3787 | H: 3.30 | dt: 78ms | rem: 294s 
step 00085 (2.0%) | loss: 0.4460 | recon: 0.0580 | vq: 0.3809 | H: 3.22 | dt: 78ms | rem: 294s 
step 00086 (2.0%) | loss: 0.4469 | recon: 0.0570 | vq: 0.3779 | H: 3.19 | dt: 80ms | rem: 294s 
step 00087 (2.0%) | loss: 0.4474 | recon: 0.0557 | vq: 0.3761 | H: 3.15 | dt: 81ms | rem: 294s 
step 00088 (2.1%) | loss: 0.4479 | recon: 0.0555 | vq: 0.3768 | H: 3.08 | dt: 76ms | rem: 294s 
step 00089 (2.1%) | loss: 0.4492 | recon: 0.0558 | vq: 0.3841 | H: 2.98 | dt: 82ms | rem: 294s 
step 00090 (2.1%) | loss: 0.4506 | recon: 0.0555 | vq: 0.3867 | H: 3.01 | dt: 78ms | rem: 294s 
step 00091 (2.1%) | loss: 0.4525 | recon: 0.0558 | vq: 0.3923 | H: 2.91 | dt: 77ms | rem: 294s 
step 00092 (2.2%) | loss: 0.4543 | recon: 0.0548 | vq: 0.3944 | H: 2.90 | dt: 76ms | rem: 293s 
step 00093 (2.2%) | loss: 0.4566 | recon: 0.0550 | vq: 0.4003 | H: 2.88 | dt: 84ms | rem: 293s 
step 00094 (2.2%) | loss: 0.4587 | recon: 0.0544 | vq: 0.4020 | H: 2.88 | dt: 80ms | rem: 293s 
step 00095 (2.3%) | loss: 0.4603 | recon: 0.0536 | vq: 0.3996 | H: 2.90 | dt: 76ms | rem: 293s 
step 00096 (2.3%) | loss: 0.4628 | recon: 0.0533 | vq: 0.4098 | H: 2.86 | dt: 81ms | rem: 293s 
step 00097 (2.3%) | loss: 0.4665 | recon: 0.0545 | vq: 0.4232 | H: 2.82 | dt: 80ms | rem: 293s 
