Improved VQ-VAE with branches (autoresearch)
  sem_dim=128, pro_dim=64, spk_dim=256
  num_codes=1024, entropy_weight=1.0
  TIME_BUDGET: 300s (wall after step 10)
  train wavs: 5700, val wavs: 299
  device: cuda, amp=True

step 00139 (3.6%) | loss: 32.4770 | recon: 0.0332 | vq: 0.6286 | H: 3.30 | dt: 86ms | rem: 289s 
step 00140 (3.6%) | loss: 32.4907 | recon: 0.0329 | vq: 0.6453 | H: 3.27 | dt: 88ms | rem: 289s 
step 00141 (3.6%) | loss: 32.4624 | recon: 0.0326 | vq: 0.6257 | H: 3.33 | dt: 89ms | rem: 289s 
step 00142 (3.7%) | loss: 32.4871 | recon: 0.0317 | vq: 0.6441 | H: 3.27 | dt: 85ms | rem: 289s 
step 00143 (3.7%) | loss: 32.4636 | recon: 0.0317 | vq: 0.6295 | H: 3.33 | dt: 86ms | rem: 289s 
step 00144 (3.7%) | loss: 32.4514 | recon: 0.0310 | vq: 0.6282 | H: 3.31 | dt: 87ms | rem: 289s 
step 00145 (3.7%) | loss: 32.4435 | recon: 0.0307 | vq: 0.6316 | H: 3.31 | dt: 84ms | rem: 289s 
step 00146 (3.8%) | loss: 32.4143 | recon: 0.0302 | vq: 0.6250 | H: 3.34 | dt: 87ms | rem: 289s 
step 00147 (3.8%) | loss: 32.4069 | recon: 0.0297 | vq: 0.6288 | H: 3.32 | dt: 86ms | rem: 289s 
step 00148 (3.8%) | loss: 32.3908 | recon: 0.0296 | vq: 0.6250 | H: 3.32 | dt: 89ms | rem: 289s 
step 00149 (3.9%) | loss: 32.3705 | recon: 0.0289 | vq: 0.6233 | H: 3.32 | dt: 85ms | rem: 288s 
step 00150 (3.9%) | loss: 32.3565 | recon: 0.0286 | vq: 0.6171 | H: 3.30 | dt: 93ms | rem: 288s 
step 00151 (3.9%) | loss: 32.3665 | recon: 0.0277 | vq: 0.6192 | H: 3.30 | dt: 85ms | rem: 288s 
step 00152 (3.9%) | loss: 32.3587 | recon: 0.0279 | vq: 0.6180 | H: 3.31 | dt: 97ms | rem: 288s 
step 00153 (4.0%) | loss: 32.3551 | recon: 0.0275 | vq: 0.6187 | H: 3.29 | dt: 87ms | rem: 288s 
step 00154 (4.0%) | loss: 32.3442 | recon: 0.0272 | vq: 0.6111 | H: 3.31 | dt: 88ms | rem: 288s 
step 00155 (4.0%) | loss: 32.3143 | recon: 0.0269 | vq: 0.6018 | H: 3.33 | dt: 93ms | rem: 288s 
step 00156 (4.1%) | loss: 32.2971 | recon: 0.0262 | vq: 0.5937 | H: 3.33 | dt: 86ms | rem: 288s 
step 00157 (4.1%) | loss: 32.2798 | recon: 0.0263 | vq: 0.6028 | H: 3.33 | dt: 91ms | rem: 288s 
step 00158 (4.1%) | loss: 32.2563 | recon: 0.0256 | vq: 0.5878 | H: 3.34 | dt: 85ms | rem: 288s 
step 00159 (4.1%) | loss: 32.2430 | recon: 0.0256 | vq: 0.5955 | H: 3.32 | dt: 84ms | rem: 288s 
step 00160 (4.2%) | loss: 32.2413 | recon: 0.0250 | vq: 0.5835 | H: 3.31 | dt: 92ms | rem: 287s 
step 00161 (4.2%) | loss: 32.2543 | recon: 0.0248 | vq: 0.5842 | H: 3.30 | dt: 86ms | rem: 287s 
step 00162 (4.2%) | loss: 32.2513 | recon: 0.0247 | vq: 0.5829 | H: 3.31 | dt: 94ms | rem: 287s 
step 00163 (4.3%) | loss: 32.2641 | recon: 0.0240 | vq: 0.5762 | H: 3.30 | dt: 88ms | rem: 287s 
step 00164 (4.3%) | loss: 32.2573 | recon: 0.0236 | vq: 0.5749 | H: 3.32 | dt: 89ms | rem: 287s 
step 00165 (4.3%) | loss: 32.2662 | recon: 0.0235 | vq: 0.5669 | H: 3.31 | dt: 85ms | rem: 287s 
step 00166 (4.4%) | loss: 32.2557 | recon: 0.0234 | vq: 0.5693 | H: 3.32 | dt: 93ms | rem: 287s 
step 00167 (4.4%) | loss: 32.2278 | recon: 0.0239 | vq: 0.5682 | H: 3.33 | dt: 87ms | rem: 287s 
step 00168 (4.4%) | loss: 32.2092 | recon: 0.0230 | vq: 0.5555 | H: 3.32 | dt: 88ms | rem: 287s 
step 00169 (4.4%) | loss: 32.2590 | recon: 0.0221 | vq: 0.5302 | H: 3.25 | dt: 87ms | rem: 287s 
step 00170 (4.5%) | loss: 32.2719 | recon: 0.0222 | vq: 0.5486 | H: 3.28 | dt: 84ms | rem: 287s 
step 00171 (4.5%) | loss: 32.2611 | recon: 0.0219 | vq: 0.5492 | H: 3.32 | dt: 85ms | rem: 286s 
step 00172 (4.5%) | loss: 32.2680 | recon: 0.0219 | vq: 0.5458 | H: 3.29 | dt: 88ms | rem: 286s 
step 00173 (4.6%) | loss: 32.2663 | recon: 0.0218 | vq: 0.5394 | H: 3.30 | dt: 89ms | rem: 286s 
step 00174 (4.6%) | loss: 32.2536 | recon: 0.0218 | vq: 0.5334 | H: 3.33 | dt: 89ms | rem: 286s 
step 00175 (4.6%) | loss: 32.2274 | recon: 0.0220 | vq: 0.5465 | H: 3.33 | dt: 91ms | rem: 286s 
step 00176 (4.6%) | loss: 32.2186 | recon: 0.0214 | vq: 0.5324 | H: 3.31 | dt: 85ms | rem: 286s 
step 00177 (4.7%) | loss: 32.2047 | recon: 0.0210 | vq: 0.5209 | H: 3.31 | dt: 93ms | rem: 286s 
step 00178 (4.7%) | loss: 32.1989 | recon: 0.0213 | vq: 0.5345 | H: 3.31 | dt: 81ms | rem: 286s 
step 00179 (5.9%) | loss: 32.2429 | recon: 0.0231 | vq: 0.5584 | H: 3.24 | dt: 3618ms | rem: 282s 
step 00180 (6.0%) | loss: 32.2773 | recon: 0.0203 | vq: 0.5149 | H: 3.25 | dt: 120ms | rem: 282s 
step 00181 (6.0%) | loss: 32.2619 | recon: 0.0208 | vq: 0.5179 | H: 3.29 | dt: 81ms | rem: 282s 
step 00182 (6.0%) | loss: 32.2420 | recon: 0.0205 | vq: 0.5100 | H: 3.32 | dt: 80ms | rem: 282s 
step 00183 (6.0%) | loss: 32.2423 | recon: 0.0209 | vq: 0.5040 | H: 3.29 | dt: 86ms | rem: 282s 
step 00184 (6.1%) | loss: 32.2545 | recon: 0.0207 | vq: 0.5199 | H: 3.27 | dt: 80ms | rem: 282s 
step 00185 (6.1%) | loss: 32.2568 | recon: 0.0205 | vq: 0.4964 | H: 3.28 | dt: 84ms | rem: 282s 
step 00186 (6.1%) | loss: 32.2613 | recon: 0.0201 | vq: 0.4802 | H: 3.27 | dt: 80ms | rem: 282s 
step 00187 (6.1%) | loss: 32.2489 | recon: 0.0204 | vq: 0.4919 | H: 3.29 | dt: 84ms | rem: 282s 
step 00188 (6.2%) | loss: 32.2389 | recon: 0.0199 | vq: 0.4816 | H: 3.31 | dt: 85ms | rem: 281s 
step 00189 (6.2%) | loss: 32.2159 | recon: 0.0205 | vq: 0.4866 | H: 3.33 | dt: 82ms | rem: 281s 
step 00190 (6.2%) | loss: 32.2005 | recon: 0.0200 | vq: 0.4725 | H: 3.32 | dt: 109ms | rem: 281s 
step 00191 (6.3%) | loss: 32.2005 | recon: 0.0197 | vq: 0.4613 | H: 3.30 | dt: 83ms | rem: 281s 
step 00192 (6.3%) | loss: 32.1987 | recon: 0.0196 | vq: 0.4677 | H: 3.32 | dt: 80ms | rem: 281s 
step 00193 (6.3%) | loss: 32.1943 | recon: 0.0195 | vq: 0.4571 | H: 3.30 | dt: 81ms | rem: 281s 
step 00194 (6.3%) | loss: 32.2015 | recon: 0.0199 | vq: 0.4739 | H: 3.29 | dt: 85ms | rem: 281s 
step 00195 (6.4%) | loss: 32.1867 | recon: 0.0194 | vq: 0.4502 | H: 3.30 | dt: 81ms | rem: 281s 
step 00196 (6.4%) | loss: 32.2353 | recon: 0.0187 | vq: 0.4296 | H: 3.27 | dt: 83ms | rem: 281s 
step 00197 (6.4%) | loss: 32.2641 | recon: 0.0192 | vq: 0.4382 | H: 3.25 | dt: 84ms | rem: 281s 
step 00198 (6.5%) | loss: 32.2563 | recon: 0.0191 | vq: 0.4371 | H: 3.31 | dt: 82ms | rem: 281s 
step 00199 (6.5%) | loss: 32.2487 | recon: 0.0189 | vq: 0.4377 | H: 3.29 | dt: 87ms | rem: 281s 
step 00200 (6.5%) | loss: 32.2350 | recon: 0.0193 | vq: 0.4350 | H: 3.31 | dt: 86ms | rem: 280s 
